transaction_id,user_id,amount,merchant,category,time_of_day,device_type,location,is_fraud
109,1270,200.67,M013,luxury,10,tablet,CA,0
110,1455,86.09,M009,travel,8,mobile,CA,0
111,1461,112.1,M009,luxury,4,desktop,US,0
112,1726,1.68,M019,jewelry,3,tablet,UK,0
113,1251,41.39,M003,electronics,19,mobile,UK,0
114,1701,158.8,M012,luxury,12,desktop,US,0
115,1295,8.06,M011,food,7,mobile,UK,0
116,1724,33.17,M020,jewelry,15,desktop,UK,0
117,1719,88.02,M011,travel,0,mobile,US,0
118,1748,29.63,M017,travel,16,desktop,US,0
119,1337,271.78,M014,jewelry,14,mobile,CA,0
120,1878,14.05,M016,grocery,23,mobile,US,0
121,1052,159.65,M010,electronics,14,mobile,US,0
122,1791,70.92,M004,jewelry,17,mobile,UK,0
123,1921,138.76,M010,food,5,tablet,UK,0
124,1216,37.21,M020,food,1,tablet,CA,0
125,1763,72.26,M012,clothing,4,tablet,UK,0
126,1187,194.38,M009,food,18,tablet,UK,0
127,1379,62.9,M015,jewelry,6,mobile,UK,0
128,1492,44.58,M009,jewelry,8,tablet,US,0
129,1040,76.82,M007,food,1,tablet,UK,0
130,1156,126.36,M012,grocery,6,mobile,US,0
131,1014,58.62,M020,electronics,23,tablet,UK,0
132,1812,279.49,M014,travel,13,tablet,US,0
133,1064,34.95,M016,jewelry,23,desktop,UK,0
134,1856,64.52,M019,food,22,tablet,CA,0
135,1838,141.44,M003,travel,14,desktop,CA,0
136,1520,116.84,M011,food,11,tablet,CA,0
137,1343,199.25,M020,jewelry,19,mobile,UK,0
138,1128,574.75,M019,clothing,3,tablet,CA,0
139,1647,55.66,M008,electronics,12,mobile,US,0
140,1471,11.78,M020,jewelry,8,tablet,CA,0
141,1062,3.09,M008,travel,11,tablet,CA,0
142,1138,129.78,M003,food,9,mobile,CA,0
143,1498,207.16,M010,clothing,8,mobile,CA,0
144,1592,24.94,M013,luxury,20,mobile,US,0
145,1391,17.25,M009,jewelry,22,mobile,CA,1
146,1674,6.42,M006,electronics,6,desktop,UK,0
147,1418,172.99,M015,clothing,11,desktop,CA,0
148,1288,37.31,M016,travel,15,mobile,UK,0
149,1378,51.37,M005,food,14,desktop,UK,0
150,1772,69.87,M013,grocery,6,tablet,CA,0
151,1489,182.92,M019,luxury,7,tablet,CA,0
152,1230,105.22,M002,luxury,6,tablet,UK,0
153,1040,95.47,M006,electronics,10,desktop,US,0
154,1027,19.32,M001,clothing,3,desktop,US,0
155,1134,71.99,M015,jewelry,17,tablet,CA,0
156,1200,125.66,M015,jewelry,18,mobile,US,0
157,1839,362.16,M014,clothing,6,tablet,US,0
158,1779,22.49,M007,jewelry,12,desktop,CA,0
159,1929,0.96,M005,luxury,8,tablet,UK,0
160,1032,7.83,M020,luxury,17,tablet,UK,0
161,1047,47.14,M016,luxury,6,desktop,US,0
162,1502,171.78,M017,clothing,19,desktop,UK,0
163,1406,0.72,M011,electronics,15,desktop,CA,0
164,1573,61.01,M015,luxury,22,desktop,US,0
165,1727,39.93,M020,jewelry,4,tablet,UK,0
166,1804,5.39,M016,electronics,6,desktop,US,0
167,1098,59.83,M003,food,5,mobile,UK,0
168,1683,29.4,M006,food,1,desktop,US,0
169,1871,43.37,M013,food,6,desktop,UK,0
170,1725,122.29,M001,food,20,tablet,UK,0
171,1986,73.72,M014,jewelry,8,mobile,CA,0
172,1546,13.31,M002,clothing,12,mobile,CA,0
173,1960,325.49,M002,jewelry,16,mobile,CA,0
174,1738,101.04,M015,travel,16,desktop,US,0
175,1612,145.19,M018,jewelry,14,tablet,US,0
176,1942,8.25,M009,electronics,17,tablet,US,0
177,1461,4.82,M003,clothing,23,desktop,UK,0
178,1642,1.96,M004,luxury,14,mobile,UK,0
179,1768,20.92,M015,grocery,10,mobile,UK,0
180,1004,53.51,M005,grocery,11,tablet,US,0
181,1217,274.62,M020,luxury,22,desktop,CA,0
182,1502,61.08,M020,clothing,16,mobile,US,0
183,1766,34.28,M005,grocery,11,desktop,US,0
184,1397,82.54,M010,clothing,6,tablet,CA,0
185,1870,11.87,M016,electronics,23,desktop,CA,0
186,1794,94.03,M012,electronics,6,desktop,US,0
187,1392,84.03,M014,jewelry,20,desktop,UK,0
188,1206,157.02,M011,grocery,22,desktop,UK,0
189,1014,431.91,M019,luxury,9,mobile,CA,0
190,1857,28.88,M006,clothing,15,tablet,US,0
191,1553,71.26,M010,electronics,10,mobile,UK,0
192,1891,239.54,M020,jewelry,15,mobile,UK,0
193,1460,153.8,M003,grocery,1,mobile,CA,0
194,1690,66.83,M015,grocery,1,mobile,US,0
195,1574,290.72,M011,grocery,17,tablet,CA,0
196,1863,5.89,M002,electronics,4,tablet,US,0
197,1742,267.36,M006,electronics,13,mobile,US,0
198,1240,5.18,M017,grocery,7,desktop,US,0
199,1563,79.25,M018,electronics,5,desktop,US,0
200,1095,221.13,M004,grocery,8,desktop,US,0
201,1899,30.48,M009,food,5,desktop,US,0
202,1733,63.91,M010,electronics,20,desktop,UK,0
203,1484,39.2,M002,clothing,16,tablet,UK,0
204,1406,303.96,M011,electronics,7,desktop,UK,0
205,1230,173.53,M011,grocery,2,tablet,UK,0
206,1748,123.44,M011,clothing,11,desktop,US,0
207,1654,88.58,M001,jewelry,12,desktop,UK,0
208,1170,171.81,M014,clothing,17,mobile,US,0
209,1540,49.8,M001,clothing,22,mobile,CA,0
210,1035,59.34,M009,electronics,10,mobile,CA,0
211,1524,130.93,M001,travel,1,tablet,UK,0
212,1159,44.28,M004,clothing,13,tablet,US,0
213,1838,6.6,M001,clothing,0,mobile,UK,0
214,1698,7.72,M019,luxury,14,mobile,US,0
215,1242,12.26,M010,grocery,17,desktop,UK,0
216,1085,203.78,M015,electronics,21,tablet,CA,0
217,1795,63.91,M020,grocery,17,desktop,CA,0
218,1577,124.79,M004,electronics,16,desktop,UK,0
219,1681,49.91,M020,jewelry,0,mobile,UK,0
220,1556,29.94,M014,travel,13,desktop,US,0
221,1573,42.65,M005,clothing,19,desktop,CA,0
222,1952,158.08,M015,luxury,23,mobile,UK,0
223,1645,98.14,M015,electronics,21,mobile,US,0
224,1795,277.48,M016,clothing,15,desktop,CA,0
225,1027,113.85,M016,clothing,3,desktop,US,0
226,1619,84.44,M004,food,21,desktop,CA,0
227,1555,94.21,M009,grocery,5,tablet,CA,0
228,1339,285.37,M001,travel,15,desktop,US,0
229,1797,155.21,M005,luxury,19,mobile,US,0
230,1957,2.43,M009,electronics,5,desktop,CA,0
231,1330,76.39,M020,jewelry,14,tablet,CA,0
232,1639,116.58,M005,travel,0,desktop,US,0
233,1505,138.11,M004,food,6,tablet,UK,0
234,1347,23.97,M016,grocery,22,tablet,US,0
235,1472,201.87,M002,jewelry,10,mobile,UK,0
236,1230,312.0,M016,jewelry,0,desktop,US,0
237,1189,27.01,M018,clothing,7,tablet,UK,0
238,1224,214.23,M002,grocery,13,desktop,UK,0
239,1384,10.2,M016,food,4,tablet,CA,0
240,1376,5.73,M001,electronics,12,mobile,US,0
241,1282,13.84,M016,electronics,14,mobile,US,0
242,1957,5.95,M003,food,8,desktop,US,0
243,1632,186.44,M015,clothing,7,desktop,UK,0
244,1627,6.09,M011,clothing,18,desktop,UK,0
245,1972,31.7,M010,jewelry,16,desktop,CA,0
246,1744,10.95,M017,grocery,18,desktop,UK,0
247,1258,35.02,M004,jewelry,17,tablet,US,0
248,1358,9.49,M017,luxury,17,desktop,UK,0
249,1709,110.26,M004,luxury,3,tablet,UK,0
250,1455,14.31,M019,electronics,1,tablet,CA,0
251,1410,190.95,M001,food,23,tablet,UK,0
252,1648,169.93,M014,grocery,4,desktop,US,0
253,1317,1.38,M011,food,16,mobile,US,1
254,1676,226.07,M007,grocery,21,mobile,US,0
255,1224,2.94,M017,travel,6,desktop,US,0
256,1818,27.4,M004,electronics,15,desktop,CA,0
257,1233,3.29,M010,electronics,0,desktop,CA,0
258,1683,40.92,M017,travel,11,tablet,US,0
259,1663,72.13,M004,grocery,18,mobile,US,0
260,1974,159.28,M019,clothing,8,mobile,UK,0
261,1826,41.25,M018,grocery,15,mobile,UK,0
262,1373,122.24,M017,electronics,6,mobile,UK,0
263,1671,20.76,M006,luxury,14,tablet,UK,0
264,1607,138.87,M007,food,11,desktop,UK,0
265,1471,26.92,M006,jewelry,3,tablet,US,0
266,1232,15.5,M012,food,5,desktop,UK,0
267,1691,20.51,M009,electronics,5,desktop,UK,0
268,1112,20.1,M018,food,14,mobile,UK,0
269,1829,71.92,M002,clothing,2,mobile,CA,0
270,1496,186.3,M017,clothing,1,desktop,CA,0
271,1441,8.3,M001,luxury,4,desktop,CA,1
272,1563,122.74,M009,grocery,7,mobile,US,0
273,1267,106.23,M006,food,18,mobile,CA,0
274,1509,205.98,M002,food,20,mobile,UK,0
275,1806,27.99,M006,electronics,15,mobile,UK,0
276,1385,59.8,M009,grocery,18,mobile,UK,0
277,1386,260.14,M003,grocery,22,tablet,US,0
278,1112,107.88,M016,food,15,tablet,CA,0
279,1612,49.23,M015,jewelry,5,tablet,CA,0
280,1624,14.09,M012,food,21,mobile,UK,0
281,1951,30.45,M008,food,0,desktop,UK,0
282,1080,87.04,M006,food,17,desktop,CA,0
283,1698,126.64,M003,clothing,21,mobile,CA,0
284,1112,13.29,M004,travel,7,tablet,UK,0
285,1001,91.53,M010,grocery,4,desktop,CA,0
286,1641,79.93,M014,travel,11,mobile,CA,0
287,1219,72.15,M015,clothing,17,tablet,US,0
288,1565,117.16,M007,jewelry,4,tablet,UK,0
289,1854,181.68,M007,electronics,21,tablet,CA,0
290,1996,39.01,M008,luxury,12,tablet,US,0
291,1735,219.83,M010,jewelry,20,tablet,US,0
292,1224,17.51,M019,grocery,21,tablet,US,0
293,1384,19.0,M019,electronics,11,tablet,US,0
294,1402,31.03,M002,travel,15,tablet,US,0
295,1637,12.73,M015,jewelry,13,tablet,US,0
296,1129,26.18,M001,grocery,10,tablet,US,0
297,1052,11.25,M010,luxury,8,mobile,UK,0
298,1683,172.46,M006,luxury,22,desktop,UK,0
299,1729,14.96,M013,jewelry,9,mobile,UK,0
300,1671,137.55,M010,electronics,15,desktop,US,0
301,1709,4.91,M012,electronics,18,mobile,CA,0
302,1415,296.66,M006,jewelry,9,desktop,US,0
303,1246,124.19,M006,clothing,20,desktop,UK,0
304,1835,0.68,M001,jewelry,3,desktop,UK,0
305,1438,144.33,M012,travel,20,mobile,US,0
306,1202,72.17,M010,jewelry,7,desktop,UK,1
307,1183,151.12,M014,jewelry,10,tablet,CA,0
308,1122,73.92,M015,clothing,5,desktop,CA,0
309,1400,102.45,M004,food,3,mobile,CA,0
310,1766,154.33,M001,electronics,20,mobile,US,0
311,1293,51.94,M008,travel,22,tablet,UK,0
312,1279,0.27,M003,grocery,23,desktop,UK,0
313,1836,189.68,M014,electronics,4,mobile,CA,0
314,1883,47.95,M017,electronics,17,desktop,UK,0
315,1609,68.53,M002,food,21,tablet,US,0
316,1197,0.78,M015,electronics,2,tablet,CA,0
317,1981,67.75,M006,electronics,6,mobile,US,0
318,1906,430.41,M005,clothing,23,desktop,US,0
319,1510,32.61,M014,clothing,21,tablet,UK,0
320,1751,50.32,M019,clothing,11,tablet,US,0
321,1143,116.22,M009,clothing,2,mobile,CA,0
322,1608,168.63,M008,clothing,16,tablet,US,0
323,1200,54.02,M003,travel,2,mobile,UK,0
324,1123,37.06,M018,grocery,10,tablet,US,0
325,1186,277.78,M008,food,5,tablet,US,0
326,1325,113.06,M016,jewelry,10,mobile,UK,0
327,1463,12.67,M015,luxury,3,mobile,UK,0
328,1348,7.14,M015,travel,16,desktop,UK,0
329,1770,66.08,M016,clothing,21,tablet,UK,0
330,1659,24.86,M001,food,0,desktop,UK,0
331,1763,29.3,M010,jewelry,11,desktop,UK,0
332,1954,210.12,M019,electronics,23,mobile,UK,0
333,1931,9.38,M005,travel,2,tablet,US,0
334,1402,125.65,M018,electronics,15,mobile,US,0
335,1345,31.63,M003,food,2,tablet,US,0
336,1962,142.85,M004,grocery,13,mobile,CA,0
337,1510,128.16,M004,grocery,16,tablet,UK,0
338,1146,0.74,M011,food,18,desktop,US,0
339,1147,71.16,M009,luxury,6,tablet,UK,0
340,1863,15.0,M001,luxury,23,tablet,CA,0
341,1710,201.16,M016,grocery,10,mobile,UK,0
342,1819,205.25,M009,luxury,15,tablet,US,0
343,1488,54.19,M011,grocery,23,tablet,CA,0
344,1928,58.77,M006,electronics,18,tablet,UK,0
345,1935,36.14,M017,luxury,4,tablet,CA,0
346,1639,126.09,M012,grocery,0,desktop,UK,0
347,1550,44.42,M008,grocery,23,mobile,CA,0
348,1337,31.17,M016,food,9,tablet,US,0
349,1871,56.6,M005,grocery,17,mobile,UK,1
350,1640,9.59,M001,luxury,9,desktop,UK,0
351,1778,137.28,M017,luxury,0,desktop,UK,0
352,1987,1.27,M008,travel,12,tablet,US,0
353,1952,103.42,M010,clothing,3,mobile,CA,0
354,1472,20.2,M018,clothing,11,mobile,US,0
355,1945,26.45,M015,food,23,mobile,CA,0
356,1150,100.96,M020,clothing,15,desktop,UK,0
357,1414,495.38,M013,electronics,18,desktop,CA,0
358,1989,150.38,M010,travel,11,tablet,CA,0
359,1297,25.6,M009,travel,5,mobile,UK,0
360,1610,19.36,M013,food,15,mobile,UK,0
361,1262,201.17,M003,luxury,11,desktop,CA,0
362,1763,58.73,M003,grocery,23,tablet,UK,0
363,1143,14.74,M001,clothing,9,tablet,UK,0
364,1345,198.2,M002,electronics,4,tablet,CA,0
365,1623,169.33,M011,luxury,18,desktop,US,0
366,1571,412.93,M014,food,11,mobile,US,0
367,1880,240.51,M010,luxury,7,tablet,UK,0
368,1001,190.91,M007,food,3,tablet,CA,0
369,1896,5.4,M001,grocery,6,mobile,UK,0
370,1303,11.03,M007,jewelry,23,tablet,US,0
371,1253,84.16,M015,clothing,22,desktop,US,0
372,1651,75.82,M011,electronics,4,tablet,CA,0
373,1452,61.24,M006,food,10,mobile,CA,0
374,1036,50.55,M007,luxury,16,desktop,US,0
375,1159,56.42,M007,clothing,23,tablet,CA,0
376,1008,84.23,M001,luxury,20,mobile,US,0
377,1232,0.21,M010,electronics,2,mobile,UK,0
378,1098,30.21,M015,travel,1,mobile,US,0
379,1658,73.04,M008,travel,18,mobile,US,0
380,1815,128.09,M019,electronics,1,tablet,CA,0
381,1207,19.14,M003,travel,13,tablet,CA,0
382,1130,79.16,M015,food,0,desktop,CA,0
383,1403,125.34,M004,clothing,15,desktop,UK,0
384,1151,58.81,M006,electronics,14,mobile,CA,0
385,1053,2.75,M010,food,17,mobile,UK,0
386,1119,59.65,M018,clothing,1,desktop,CA,0
387,1672,35.16,M016,clothing,10,tablet,CA,0
388,1919,265.43,M018,food,20,tablet,US,0
389,1627,13.31,M006,clothing,16,tablet,US,0
390,1586,105.69,M019,jewelry,12,mobile,US,0
391,1624,5.42,M017,electronics,11,desktop,UK,0
392,1967,59.09,M018,electronics,23,desktop,CA,0
393,1419,80.74,M013,clothing,1,desktop,US,0
394,1421,35.38,M007,food,21,tablet,CA,0
395,1103,60.71,M020,grocery,20,desktop,US,0
396,1851,17.86,M012,travel,17,desktop,CA,1
397,1253,36.26,M002,clothing,9,tablet,US,0
398,1226,97.05,M012,grocery,11,mobile,US,0
399,1111,35.92,M012,clothing,16,mobile,US,0
400,1509,230.0,M004,grocery,21,tablet,US,0
401,1472,99.0,M004,clothing,13,desktop,US,0
402,1098,57.74,M018,food,21,mobile,CA,0
403,1152,3.95,M016,travel,18,mobile,US,0
404,1860,69.22,M014,luxury,12,mobile,CA,0
405,1913,144.72,M017,luxury,23,tablet,US,0
406,1895,30.86,M017,grocery,2,mobile,CA,0
407,1877,164.39,M003,jewelry,7,desktop,US,0
408,1337,29.01,M006,food,4,tablet,US,0
409,1705,173.58,M013,travel,21,tablet,US,0
410,1821,8.91,M009,clothing,11,mobile,UK,0
411,1162,201.13,M009,grocery,0,desktop,CA,0
412,1719,69.15,M008,travel,20,tablet,CA,1
413,1956,35.17,M017,electronics,15,mobile,US,0
414,1680,30.8,M016,food,11,desktop,US,0
415,1995,56.57,M016,grocery,22,desktop,US,0
416,1160,695.85,M019,food,16,tablet,UK,0
417,1579,24.89,M016,grocery,8,mobile,US,0
418,1800,10.89,M014,luxury,12,desktop,US,0
419,1397,87.96,M020,electronics,22,tablet,CA,0
420,1276,67.05,M014,jewelry,3,tablet,UK,0
421,1815,74.27,M014,electronics,3,tablet,CA,0
422,1915,109.94,M014,clothing,14,tablet,UK,0
423,1503,31.08,M012,food,9,tablet,UK,0
424,1895,241.54,M006,jewelry,22,desktop,CA,0
425,1391,57.21,M020,food,5,tablet,CA,0
426,1134,13.82,M013,travel,2,mobile,UK,0
427,1194,135.6,M016,grocery,14,mobile,UK,0
428,1400,103.03,M009,clothing,5,desktop,US,0
429,1639,37.94,M002,clothing,10,tablet,US,0
430,1032,97.16,M003,food,1,tablet,CA,0
431,1687,24.83,M010,luxury,1,desktop,UK,0
432,1459,58.85,M020,clothing,0,tablet,CA,0
433,1954,229.67,M002,food,10,tablet,US,0
434,1882,14.33,M010,grocery,4,mobile,US,0
435,1469,48.89,M008,grocery,5,tablet,US,0
436,1374,172.12,M017,food,2,desktop,UK,0
437,1021,348.97,M001,electronics,19,mobile,CA,0
438,1749,60.5,M006,electronics,4,desktop,UK,0
439,1669,70.72,M007,grocery,19,desktop,UK,0
440,1037,84.9,M015,jewelry,8,tablet,US,0
441,1229,269.34,M018,electronics,18,tablet,US,0
442,1364,195.34,M009,food,4,mobile,CA,0
443,1562,18.71,M008,grocery,22,desktop,UK,0
444,1437,57.4,M010,clothing,11,desktop,CA,0
445,1775,62.36,M004,clothing,11,tablet,CA,0
446,1282,155.64,M020,luxury,15,desktop,CA,0
447,1026,92.35,M008,electronics,6,desktop,CA,0
448,1225,106.2,M001,jewelry,13,desktop,US,0
449,1276,631.99,M008,travel,21,desktop,CA,0
450,1797,7.79,M012,electronics,8,desktop,US,0
451,1608,25.23,M015,jewelry,14,mobile,CA,0
452,1283,52.41,M013,electronics,22,desktop,US,1
453,1878,42.74,M016,clothing,10,desktop,CA,0
454,1959,2.19,M018,jewelry,3,mobile,UK,0
455,1480,9.63,M001,clothing,10,tablet,UK,0
456,1452,114.24,M017,luxury,8,tablet,US,0
457,1828,211.46,M016,food,5,mobile,US,0
458,1815,72.2,M005,food,16,mobile,CA,0
459,1658,77.48,M020,grocery,8,tablet,UK,0
460,1515,29.45,M010,clothing,22,desktop,CA,0
461,1546,146.05,M006,clothing,5,desktop,US,0
462,1191,139.35,M012,luxury,5,mobile,CA,0
463,1048,88.76,M010,grocery,3,desktop,UK,0
464,1511,23.91,M017,food,19,mobile,UK,0
465,1016,10.21,M002,food,10,tablet,UK,0
466,1171,6.64,M019,jewelry,2,desktop,UK,0
467,1219,89.82,M020,jewelry,23,tablet,UK,0
468,1157,174.32,M006,travel,23,desktop,US,0
469,1476,195.43,M013,luxury,17,desktop,CA,0
470,1045,62.29,M009,food,15,desktop,CA,0
471,1372,153.37,M012,travel,20,mobile,CA,0
472,1517,293.52,M018,electronics,15,tablet,US,0
473,1098,32.18,M008,clothing,11,mobile,US,0
474,1891,50.74,M018,jewelry,13,mobile,US,0
475,1744,268.06,M002,electronics,8,tablet,US,0
476,1036,41.28,M008,jewelry,6,tablet,CA,0
477,1279,245.2,M010,grocery,13,mobile,UK,0
478,1348,396.57,M009,clothing,19,mobile,UK,0
479,1496,108.41,M018,travel,19,mobile,US,0
480,1301,169.77,M008,travel,9,tablet,CA,0
481,1180,138.45,M019,jewelry,10,mobile,CA,0
482,1606,120.24,M003,food,6,tablet,US,0
483,1098,36.66,M009,luxury,18,mobile,CA,0
484,1699,5.88,M013,travel,18,tablet,UK,0
485,1992,42.02,M009,grocery,20,mobile,US,0
486,1115,109.94,M020,grocery,10,desktop,CA,0
487,1190,10.82,M012,food,5,desktop,CA,0
488,1252,1.2,M013,grocery,7,tablet,CA,0
489,1980,15.05,M008,luxury,0,tablet,US,0
490,1927,125.79,M015,clothing,22,desktop,UK,0
491,1982,360.43,M013,jewelry,7,tablet,CA,0
492,1160,407.84,M013,grocery,4,tablet,US,1
493,1255,68.12,M017,clothing,9,desktop,US,0
494,1322,203.53,M015,food,1,mobile,CA,0
495,1127,133.49,M019,jewelry,3,tablet,US,0
496,1017,69.52,M003,food,21,tablet,UK,0
497,1792,85.04,M014,jewelry,1,mobile,UK,0
498,1734,14.76,M010,luxury,14,mobile,US,0
499,1565,277.52,M017,grocery,19,tablet,CA,1
500,1569,43.38,M008,grocery,9,tablet,UK,0
501,1322,59.09,M018,jewelry,20,mobile,CA,0
502,1871,111.37,M012,clothing,23,tablet,US,0
503,1685,40.63,M017,clothing,23,mobile,UK,0
504,1791,29.34,M011,clothing,1,mobile,CA,0
505,1625,99.71,M009,electronics,5,tablet,US,0
506,1287,2.53,M015,travel,21,tablet,CA,0
507,1942,127.56,M009,travel,13,mobile,UK,0
508,1853,72.16,M012,travel,4,tablet,US,0
509,1662,93.08,M011,clothing,23,mobile,US,0
510,1961,99.93,M017,grocery,1,desktop,CA,0
511,1638,74.88,M006,luxury,13,desktop,CA,0
512,1154,87.36,M008,electronics,12,mobile,US,0
513,1489,115.13,M010,clothing,1,mobile,UK,0
514,1385,139.88,M015,grocery,22,tablet,UK,0
515,1985,129.99,M004,electronics,8,mobile,CA,0
516,1784,203.73,M018,grocery,2,mobile,CA,0
517,1103,21.0,M011,jewelry,14,tablet,CA,0
518,1928,51.27,M009,grocery,22,tablet,UK,0
519,1392,295.26,M009,electronics,2,desktop,UK,0
520,1810,50.52,M008,clothing,11,mobile,CA,0
521,1245,13.34,M003,travel,5,mobile,CA,0
522,1175,74.54,M018,electronics,18,desktop,US,0
523,1038,11.6,M014,clothing,16,mobile,US,0
524,1476,22.67,M003,clothing,5,tablet,US,0
525,1681,638.82,M017,luxury,18,mobile,US,0
526,1758,77.95,M004,food,16,tablet,CA,0
527,1537,33.42,M018,luxury,15,mobile,UK,0
528,1866,525.43,M015,jewelry,20,desktop,UK,0
